floor,brand,name,product_code,matched_name,matched_brand,match_status,match_method,match_score,image,url
B1,Artek,Stool E60,P00000QY,E60 Stool Yellow,ARTEK,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/aae709ec2bcbcb37eff9f4fcf95105c1.jpg,https://inscale.co.kr/product/e60-stool/440/category/85/display/1/
B1,Artek,"Riihitie
Plant Pot",P0000BFU,Riihitie aalto planter Shape B Light Grey,ARTEK,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/0eaf66546b02a3d5d3b64ccedc541fe6.jpg,https://inscale.co.kr/product/riihitie-aalto-planter-shape-a-light-grey/825/category/110/display/1/
B1,Zanotta,Sella Stool,P00000PZ,Sella,자체브랜드,matched,product_code,1,https://inscale.co.kr/web/product/big/202311/68d239036b02b5e5dbbb753800853b20.jpg,https://inscale.co.kr/product/sella-stool/415/category/113/display/1/
1F,CASSINA,"[60th Limited Edition]
LC-4",P0000BFY,[60th Limited Edition] LC-4,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/e7dfee6972c2d40d9c4b0fbfc09871e7.jpg,https://inscale.co.kr/product/detail.html?product_no=830
1F,CASSINA,"Deadline Mirror -
Reflections about spatialism",P00000UW,Deadline Mirror,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202312/0660f2d0d22ac8723ec74714af0a5380.jpg,https://inscale.co.kr/product/deadline-mirror/542/category/87/display/1/
1F,CASSINA,Console Doron,P0000BFZ,Console Doron Cream,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/440140f406770c7158f6271ce4f821f0.jpg,https://inscale.co.kr/product/detail.html?product_no=831
1F,CASSINA,Ruuna Pouf Ottomann,P0000BGG,Ruuna Pouf Ottomann,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/1aae600796885555a260d14e0bfd0ac8.jpg,https://inscale.co.kr/product/detail.html?product_no=838
1F,CASSINA,Bowy Low Table,P0000BGF,Bowy Low Table,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/dcc1f3cd52d4b47b6718a48789c6f75f.jpg,https://inscale.co.kr/product/detail.html?product_no=837
1F,CASSINA,"LC2 Armchair - 
Blu notte",P00000VN,LC2 Arm Chair,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202401/019699bb4bb4c44fc7d9716528214e56.jpg,https://inscale.co.kr/product/lc2-armchair/559/category/87/display/1/
1F,CASSINA x KARAKTER,Triangle stool,P0000BGB,Triangle stool,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/4ccd251c0ed1ba490eeee163daf11c54.jpg,https://inscale.co.kr/product/detail.html?product_no=833
1F,CASSINA,"Ficupala 
Pink glass",P00000SO,Ficupala,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202311/41d879f37ccc8d03b2e0f11bc206bcd8.jpg,https://inscale.co.kr/product/ficupala/482/category/87/display/1/
1F,CASSINA,9 Side Table Walnut,P00000ZH,9 Side Table Walnut,CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202410/4e0dbd7c476db29adb9b4a64f11f774d.jpg,https://inscale.co.kr/product/detail.html?product_no=657
1F,CASSINA,Fluid joinery Side table (Amber),P0000BDI,Fluid joinery Side table (Amber),CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/4cd8bbc83fd85db19e63b6b1eb2a7ad3.jpg,https://inscale.co.kr/product/fluid-joinery-side-table-blue/762/category/87/display/1/
1F,CASSINA,Fluid joinery Side table (Blue),P0000BDH,Fluid joinery Side table (Blue),CASSINA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/4bc5519105225d5ec768f9c85f4efd17.jpg,https://inscale.co.kr/product/fluid-joinery-side-table-blue/761/category/87/display/1/
